This is the data file used for calibration of the shaker
Frequency	Amplitude	UpdateRate	Duration
(Hz)	(Volts)	(Hz)	(Sec)
10.0000	0.10000	10000	1.0000
/ 199	0	10000	1
10	0	10000	1
199	0	10000	1
10	0.2	10000	1
199	0	10000	1
10	0.4	10000	1
199	0	10000	1
10	0.6	10000	1
199	0	10000	1
10	0.8	10000	1
199	0	10000	1
10	1.0	10000	1
199	0	10000	1
10	1.2	10000	1
199	0	10000	1
10	1.4	10000	1
199	0	10000	1
10	1.6	10000	1
199	0	10000	1
10	1.8	10000	1
199	0	10000	1
10	2.0	10000	1
199	0	10000	1
10	2.2	10000	1
199	0	10000	1
10	2.4	10000	1
199	0	10000	1
10	2.6	10000	1
199	0	10000	1
10	2.8	10000	1
199	0	10000	1
10	3.0	10000	1
199	0	10000	1
10	3.2	10000	1
199	0	10000	1
10	3.4	10000	1
199	0	10000	1
20	0	10000	1
199	0	10000	1
20	0.01	10000	1
199	0	10000	1
20	0.02	10000	1
199	0	10000	1
20	0.03	10000	1
199	0	10000	1
20	0.04	10000	1
199	0	10000	1
20	0.05	10000	1
199	0	10000	1
20	0.06	10000	1
199	0	10000	1
20	0.07	10000	1
199	0	10000	1
20	0.08	10000	1
199	0	10000	1
20	0.09	10000	1
199	0	10000	1
20	0.10	10000	1
199	0	10000	1
20	0.11	10000	1
199	0	10000	1
20	0.12	10000	1
199	0	10000	1
20	0.13	10000	1
199	0	10000	1
20	0.14	10000	1
199	0	10000	1
20	0.15	10000	1
199	0	10000	1
20	0.16	10000	1
199	0	10000	1
20	0.17	10000	1
199	0	10000	1
20	0.18	10000	1
199	0	10000	1
35	0	10000	1
199	0	10000	1
35	0.005	10000	1
199	0	10000	1
35	0.01	10000	1
199	0	10000	1
35	0.015	10000	1
199	0	10000	1
35	0.02	10000	1
199	0	10000	1
35	0.025	10000	1
199	0	10000	1
35	0.03	10000	1
199	0	10000	1
35	0.035	10000	1
199	0	10000	1
35	0.04	10000	1
199	0	10000	1
35	0.045	10000	1
199	0	10000	1
35	0.05	10000	1
199	0	10000	1
35	0.055	10000	1
199	0	10000	1
35	0.06	10000	1
199	0	10000	1
35	0.065	10000	1
199	0	10000	1
35	0.07	10000	1
199	0	10000	1
35	0.075	10000	1
199	0	10000	1
35	0.08	10000	1
199	0	10000	1
50	0	10000	1
199	0	10000	1
50	0.005	10000	1
199	0	10000	1
50	0.01	10000	1
199	0	10000	1
50	0.015	10000	1
199	0	10000	1
50	0.02	10000	1
199	0	10000	1
50	0.025	10000	1
199	0	10000	1
50	0.03	10000	1
199	0	10000	1
50	0.035	10000	1
199	0	10000	1
50	0.04	10000	1
199	0	10000	1
50	0.045	10000	1
199	0	10000	1
50	0.05	10000	1
199	0	10000	1
50	0.055	10000	1
199	0	10000	1
50	0.06	10000	1
199	0	10000	1
50	0.065	10000	1
199	0	10000	1
50	0.07	10000	1
199	0	10000	1
70	0	10000	1
199	0	10000	1
70	0.002	10000	1
199	0	10000	1
70	0.004	10000	1
199	0	10000	1
70	0.006	10000	1
199	0	10000	1
70	0.008	10000	1
199	0	10000	1
70	0.010	10000	1
199	0	10000	1
70	0.012	10000	1
199	0	10000	1
70	0.014	10000	1
199	0	10000	1
70	0.016	10000	1
199	0	10000	1
70	0.018	10000	1
199	0	10000	1
70	0.020	10000	1
199	0	10000	1
70	0.022	10000	1
199	0	10000	1
70	0.024	10000	1
199	0	10000	1
70	0.026	10000	1
199	0	10000	1
70	0.028	10000	1
199	0	10000	1
95	0	10000	1
199	0	10000	1
95	0.003	10000	1
199	0	10000	1
95	0.006	10000	1
199	0	10000	1
95	0.009	10000	1
199	0	10000	1
95	0.012	10000	1
199	0	10000	1
95	0.015	10000	1
199	0	10000	1
95	0.018	10000	1
199	0	10000	1
95	0.021	10000	1
199	0	10000	1
95	0.024	10000	1
199	0	10000	1
95	0.027	10000	1
199	0	10000	1
95	0.03	10000	1
199	0	10000	1
95	0.033	10000	1
199	0	10000	1
95	0.036	10000	1
199	0	10000	1
95	0.039	10000	1
199	0	10000	1
95	0.042	10000	1
199	0	10000	1
95	0.045	10000	1
199	0	10000	1
120	0	10000	1
199	0	10000	1
120	0.003	10000	1
199	0	10000	1
120	0.006	10000	1
199	0	10000	1
120	0.009	10000	1
199	0	10000	1
120	0.012	10000	1
199	0	10000	1
120	0.015	10000	1
199	0	10000	1
120	0.018	10000	1
199	0	10000	1
120	0.021	10000	1
199	0	10000	1
120	0.024	10000	1
199	0	10000	1
120	0.027	10000	1
199	0	10000	1
120	0.03	10000	1
199	0	10000	1
120	0.033	10000	1
199	0	10000	1
120	0.036	10000	1
199	0	10000	1
120	0.039	10000	1
199	0	10000	1
120	0.042	10000	1
199	0	10000	1
120	0.045	10000	1
199	0	10000	1
150	0	10000	1
199	0	10000	1
150	0.003	10000	1
199	0	10000	1
150	0.006	10000	1
199	0	10000	1
150	0.009	10000	1
199	0	10000	1
150	0.012	10000	1
199	0	10000	1
150	0.015	10000	1
199	0	10000	1
150	0.018	10000	1
199	0	10000	1
150	0.021	10000	1
199	0	10000	1
150	0.024	10000	1
199	0	10000	1
150	0.027	10000	1
199	0	10000	1
150	0.03	10000	1
199	0	10000	1
150	0.033	10000	1
199	0	10000	1
150	0.036	10000	1
199	0	10000	1
150	0.039	10000	1
199	0	10000	1
150	0.042	10000	1
199	0	10000	1
150	0.045	10000	1
199	0	10000	1
200	0	10000	1
199	0	10000	1
200	0.003	10000	1
199	0	10000	1
200	0.006	10000	1
199	0	10000	1
200	0.009	10000	1
199	0	10000	1
200	0.012	10000	1
199	0	10000	1
200	0.015	10000	1
199	0	10000	1
200	0.018	10000	1
199	0	10000	1
200	0.021	10000	1
199	0	10000	1
200	0.024	10000	1
199	0	10000	1
200	0.027	10000	1
199	0	10000	1
200	0.03	10000	1
199	0	10000	1
