Volts	Hz	G	mm
0.000000000	199.000000000	0.000119171	0.000000748	
0.000000000	10.000000000	0.001997172	0.004961082	
0.000000000	199.000000000	0.000119171	0.000000748	
0.200000000	10.000000000	0.001478982	0.003673870	
0.000000000	199.000000000	0.000119171	0.000000748	
0.400000000	10.000000000	0.002803637	0.006964383	
0.000000000	199.000000000	0.000119171	0.000000748	
0.600000000	10.000000000	0.000833615	0.002070744	
0.000000000	199.000000000	0.000119171	0.000000748	
0.800000000	10.000000000	0.003801531	0.009443206	
0.000000000	199.000000000	0.000119171	0.000000748	
1.000000000	10.000000000	0.001209233	0.003003799	
0.000000000	199.000000000	0.000119171	0.000000748	
1.200000000	10.000000000	0.001393086	0.003460500	
0.000000000	199.000000000	0.000119171	0.000000748	
1.400000000	10.000000000	0.000757410	0.001881446	
0.000000000	199.000000000	0.000119171	0.000000748	
1.600000000	10.000000000	0.001680261	0.004173859	
0.000000000	199.000000000	0.000119171	0.000000748	
1.800000000	10.000000000	0.002360361	0.005863263	
0.000000000	199.000000000	0.000119171	0.000000748	
2.000000000	10.000000000	0.002526463	0.006275870	
0.000000000	199.000000000	0.000119171	0.000000748	
2.200000000	10.000000000	0.003307153	0.008215145	
0.000000000	199.000000000	0.000119171	0.000000748	
2.400000000	10.000000000	0.001344010	0.003338592	
0.000000000	199.000000000	0.000119171	0.000000748	
2.600000000	10.000000000	0.003149059	0.007822431	
0.000000000	199.000000000	0.000119171	0.000000748	
2.800000000	10.000000000	0.004796374	0.011914449	
0.000000000	199.000000000	0.000119171	0.000000748	
3.000000000	10.000000000	0.006878507	0.017086578	
0.000000000	199.000000000	0.000119171	0.000000748	
3.200000000	10.000000000	0.007284514	0.018095122	
0.000000000	199.000000000	0.000119171	0.000000748	
3.400000000	10.000000000	0.001129942	0.002806836	
0.000000000	199.000000000	0.000119171	0.000000748	
0.000000000	20.000000000	0.000752512	0.000467320	
0.000000000	199.000000000	0.000119171	0.000000748	
0.010000000	20.000000000	0.001179114	0.000732246	
0.000000000	199.000000000	0.000119171	0.000000748	
0.020000000	20.000000000	0.003914435	0.002430916	
0.000000000	199.000000000	0.000119171	0.000000748	
0.030000000	20.000000000	0.003857903	0.002395809	
0.000000000	199.000000000	0.000119171	0.000000748	
0.040000000	20.000000000	0.005089869	0.003160877	
0.000000000	199.000000000	0.000119171	0.000000748	
0.050000000	20.000000000	0.008075719	0.005015129	
0.000000000	199.000000000	0.000119171	0.000000748	
0.060000000	20.000000000	0.002041536	0.001267821	
0.000000000	199.000000000	0.000119171	0.000000748	
0.070000000	20.000000000	0.012627398	0.007841783	
0.000000000	199.000000000	0.000119171	0.000000748	
0.080000000	20.000000000	0.011224332	0.006970460	
0.000000000	199.000000000	0.000119171	0.000000748	
0.090000000	20.000000000	0.015616534	0.009698077	
0.000000000	199.000000000	0.000119171	0.000000748	
0.100000000	20.000000000	0.013309709	0.008265507	
0.000000000	199.000000000	0.000119171	0.000000748	
0.110000000	20.000000000	0.013707185	0.008512345	
0.000000000	199.000000000	0.000119171	0.000000748	
0.120000000	20.000000000	0.018884299	0.011727402	
0.000000000	199.000000000	0.000119171	0.000000748	
0.130000000	20.000000000	0.018413644	0.011435119	
0.000000000	199.000000000	0.000119171	0.000000748	
0.140000000	20.000000000	0.020184698	0.012534968	
0.000000000	199.000000000	0.000119171	0.000000748	
0.150000000	20.000000000	0.022985258	0.014274152	
0.000000000	199.000000000	0.000119171	0.000000748	
0.160000000	20.000000000	0.025368838	0.015754387	
0.000000000	199.000000000	0.000119171	0.000000748	
0.170000000	20.000000000	0.029420658	0.018270622	
0.000000000	199.000000000	0.000119171	0.000000748	
0.180000000	20.000000000	0.024847807	0.015430821	
0.000000000	199.000000000	0.000119171	0.000000748	
0.000000000	35.000000000	0.000307917	0.000062439	
0.000000000	199.000000000	0.000119171	0.000000748	
0.005000000	35.000000000	0.001181851	0.000239656	
0.000000000	199.000000000	0.000119171	0.000000748	
0.010000000	35.000000000	0.005661627	0.001148064	
0.000000000	199.000000000	0.000119171	0.000000748	
0.015000000	35.000000000	0.008431892	0.001709818	
0.000000000	199.000000000	0.000119171	0.000000748	
0.020000000	35.000000000	0.011688032	0.002370098	
0.000000000	199.000000000	0.000119171	0.000000748	
0.025000000	35.000000000	0.015805786	0.003205095	
0.000000000	199.000000000	0.000119171	0.000000748	
0.030000000	35.000000000	0.017254528	0.003498871	
0.000000000	199.000000000	0.000119171	0.000000748	
0.035000000	35.000000000	0.021717278	0.004403827	
0.000000000	199.000000000	0.000119171	0.000000748	
0.040000000	35.000000000	0.025404837	0.005151590	
0.000000000	199.000000000	0.000119171	0.000000748	
0.045000000	35.000000000	0.029262594	0.005933865	
0.000000000	199.000000000	0.000119171	0.000000748	
0.050000000	35.000000000	0.030947808	0.006275593	
0.000000000	199.000000000	0.000119171	0.000000748	
0.055000000	35.000000000	0.035271688	0.007152388	
0.000000000	199.000000000	0.000119171	0.000000748	
0.060000000	35.000000000	0.036584648	0.007418630	
0.000000000	199.000000000	0.000119171	0.000000748	
0.065000000	35.000000000	0.043401426	0.008800936	
0.000000000	199.000000000	0.000119171	0.000000748	
0.070000000	35.000000000	0.045995668	0.009326996	
0.000000000	199.000000000	0.000119171	0.000000748	
0.075000000	35.000000000	0.047646995	0.009661852	
0.000000000	199.000000000	0.000119171	0.000000748	
0.080000000	35.000000000	0.048903257	0.009916596	
0.000000000	199.000000000	0.000119171	0.000000748	
0.000000000	50.000000000	0.000846164	0.000084077	
0.000000000	199.000000000	0.000119171	0.000000748	
0.005000000	50.000000000	0.004744388	0.000471413	
0.000000000	199.000000000	0.000119171	0.000000748	
0.010000000	50.000000000	0.011328642	0.001125638	
0.000000000	199.000000000	0.000119171	0.000000748	
0.015000000	50.000000000	0.016286178	0.001618230	
0.000000000	199.000000000	0.000119171	0.000000748	
0.020000000	50.000000000	0.021997617	0.002185730	
0.000000000	199.000000000	0.000119171	0.000000748	
0.025000000	50.000000000	0.027350987	0.002717653	
0.000000000	199.000000000	0.000119171	0.000000748	
0.030000000	50.000000000	0.031958049	0.003175420	
0.000000000	199.000000000	0.000119171	0.000000748	
0.035000000	50.000000000	0.036961383	0.003672562	
0.000000000	199.000000000	0.000119171	0.000000748	
0.040000000	50.000000000	0.045334207	0.004504504	
0.000000000	199.000000000	0.000119171	0.000000748	
0.045000000	50.000000000	0.049822971	0.004950517	
0.000000000	199.000000000	0.000119171	0.000000748	
0.050000000	50.000000000	0.054513965	0.005416624	
0.000000000	199.000000000	0.000119171	0.000000748	
0.055000000	50.000000000	0.062241602	0.006184459	
0.000000000	199.000000000	0.000119171	0.000000748	
0.060000000	50.000000000	0.067156021	0.006672766	
0.000000000	199.000000000	0.000119171	0.000000748	
0.065000000	50.000000000	0.074605845	0.007412996	
0.000000000	199.000000000	0.000119171	0.000000748	
0.070000000	50.000000000	0.081129413	0.008061192	
0.000000000	199.000000000	0.000119171	0.000000748	
0.000000000	70.000000000	0.000022987	0.000001165	
0.000000000	199.000000000	0.000119171	0.000000748	
0.002000000	70.000000000	0.000619597	0.000031410	
0.000000000	199.000000000	0.000119171	0.000000748	
