Volts	Hz	G	mm
0.000000000	199.000000000	0.000321302	0.000002015	
0.100000000	20.000000000	0.170299376	0.105758189	
0.000000000	199.000000000	0.000321302	0.000002015	
0.200000000	20.000000000	0.361632704	0.224578743	
0.000000000	199.000000000	0.000321302	0.000002015	
0.300000000	20.000000000	0.549370090	0.341166168	
0.000000000	199.000000000	0.000321302	0.000002015	
0.400000000	20.000000000	0.735114994	0.456516237	
0.000000000	199.000000000	0.000321302	0.000002015	
0.500000000	20.000000000	0.919134648	0.570794901	
0.000000000	199.000000000	0.000321302	0.000002015	
0.600000000	20.000000000	1.158899212	0.719691900	
0.000000000	199.000000000	0.000321302	0.000002015	
0.700000000	20.000000000	1.366403453	0.848554808	
0.000000000	199.000000000	0.000321302	0.000002015	
0.800000000	20.000000000	1.501292152	0.932322492	
0.000000000	199.000000000	0.000321302	0.000002015	
0.900000000	20.000000000	1.692742715	1.051215851	
0.000000000	199.000000000	0.000321302	0.000002015	
1.000000000	20.000000000	1.875414365	1.164657387	
0.000000000	199.000000000	0.000321302	0.000002015	
1.100000000	20.000000000	2.140230497	1.329111745	
0.000000000	199.000000000	0.000321302	0.000002015	
1.200000000	20.000000000	2.245407264	1.394427923	
0.000000000	199.000000000	0.000321302	0.000002015	
1.300000000	20.000000000	2.445572571	1.518733254	
0.000000000	199.000000000	0.000321302	0.000002015	
1.400000000	20.000000000	2.633207871	1.635257284	
0.000000000	199.000000000	0.000321302	0.000002015	
1.500000000	20.000000000	2.952071063	1.833275587	
0.000000000	199.000000000	0.000321302	0.000002015	
1.600000000	20.000000000	3.015675877	1.872775027	
0.000000000	199.000000000	0.000321302	0.000002015	
1.700000000	20.000000000	3.216722327	1.997627560	
0.000000000	199.000000000	0.000321302	0.000002015	
1.800000000	20.000000000	3.394413258	2.107976003	
0.000000000	199.000000000	0.000321302	0.000002015	
1.900000000	20.000000000	3.739831643	2.322485437	
0.000000000	199.000000000	0.000321302	0.000002015	
2.000000000	20.000000000	3.761439954	2.335904487	
0.000000000	199.000000000	0.000321302	0.000002015	
0.100000000	33.000000000	0.215141567	0.049074670	
0.000000000	199.000000000	0.000321302	0.000002015	
0.200000000	33.000000000	0.439566263	0.100266859	
0.000000000	199.000000000	0.000321302	0.000002015	
0.300000000	33.000000000	0.660446646	0.150650576	
0.000000000	199.000000000	0.000321302	0.000002015	
0.400000000	33.000000000	0.880805789	0.200915397	
0.000000000	199.000000000	0.000321302	0.000002015	
0.500000000	33.000000000	1.104260048	0.251886226	
0.000000000	199.000000000	0.000321302	0.000002015	
0.600000000	33.000000000	1.327133896	0.302724660	
0.000000000	199.000000000	0.000321302	0.000002015	
0.700000000	33.000000000	1.550592888	0.353696569	
0.000000000	199.000000000	0.000321302	0.000002015	
0.800000000	33.000000000	1.775501194	0.404999072	
0.000000000	199.000000000	0.000321302	0.000002015	
0.900000000	33.000000000	1.997872291	0.455722827	
0.000000000	199.000000000	0.000321302	0.000002015	
1.000000000	33.000000000	2.194497745	0.500573896	
0.000000000	199.000000000	0.000321302	0.000002015	
1.100000000	33.000000000	2.441918165	0.557011504	
0.000000000	199.000000000	0.000321302	0.000002015	
1.200000000	33.000000000	2.812589932	0.641563247	
0.000000000	199.000000000	0.000321302	0.000002015	
1.300000000	33.000000000	3.050715498	0.695880661	
0.000000000	199.000000000	0.000321302	0.000002015	
1.400000000	33.000000000	3.287727345	0.749944031	
0.000000000	199.000000000	0.000321302	0.000002015	
1.500000000	33.000000000	3.522034181	0.803390377	
0.000000000	199.000000000	0.000321302	0.000002015	
1.600000000	33.000000000	3.553278667	0.810517372	
0.000000000	199.000000000	0.000321302	0.000002015	
1.700000000	33.000000000	3.772045966	0.860419086	
0.000000000	199.000000000	0.000321302	0.000002015	
1.800000000	33.000000000	4.001334357	0.912720704	
0.000000000	199.000000000	0.000321302	0.000002015	
1.900000000	33.000000000	4.180622788	0.953617127	
0.000000000	199.000000000	0.000321302	0.000002015	
2.000000000	33.000000000	4.402274593	1.004176809	
0.000000000	199.000000000	0.000321302	0.000002015	
0.100000000	47.000000000	0.239353670	0.026915677	
0.000000000	199.000000000	0.000321302	0.000002015	
0.200000000	47.000000000	0.472333503	0.053114607	
0.000000000	199.000000000	0.000321302	0.000002015	
0.300000000	47.000000000	0.717376796	0.080670091	
0.000000000	199.000000000	0.000321302	0.000002015	
0.400000000	47.000000000	0.928045882	0.104360144	
0.000000000	199.000000000	0.000321302	0.000002015	
0.500000000	47.000000000	1.175698241	0.132209022	
0.000000000	199.000000000	0.000321302	0.000002015	
0.600000000	47.000000000	1.390196486	0.156329669	
0.000000000	199.000000000	0.000321302	0.000002015	
0.700000000	47.000000000	1.674737461	0.188326727	
0.000000000	199.000000000	0.000321302	0.000002015	
0.800000000	47.000000000	1.981315965	0.222801937	
0.000000000	199.000000000	0.000321302	0.000002015	
0.900000000	47.000000000	2.091013629	0.235137603	
0.000000000	199.000000000	0.000321302	0.000002015	
1.000000000	47.000000000	2.477598699	0.278609671	
0.000000000	199.000000000	0.000321302	0.000002015	
1.100000000	47.000000000	2.558998336	0.287763182	
0.000000000	199.000000000	0.000321302	0.000002015	
1.200000000	47.000000000	2.978186639	0.334901532	
0.000000000	199.000000000	0.000321302	0.000002015	
1.300000000	47.000000000	3.067440443	0.344938255	
0.000000000	199.000000000	0.000321302	0.000002015	
1.400000000	47.000000000	3.364823942	0.378379473	
0.000000000	199.000000000	0.000321302	0.000002015	
1.500000000	47.000000000	3.488955791	0.392338285	
0.000000000	199.000000000	0.000321302	0.000002015	
1.600000000	47.000000000	3.719166104	0.418225778	
0.000000000	199.000000000	0.000321302	0.000002015	
1.700000000	47.000000000	4.216656871	0.474169357	
0.000000000	199.000000000	0.000321302	0.000002015	
1.800000000	47.000000000	4.247675609	0.477657461	
0.000000000	199.000000000	0.000321302	0.000002015	
1.900000000	47.000000000	4.422328504	0.497297439	
0.000000000	199.000000000	0.000321302	0.000002015	
2.000000000	47.000000000	4.719002734	0.530658899	
0.000000000	199.000000000	0.000321302	0.000002015	
0.100000000	63.000000000	0.229531000	0.014365515	
0.000000000	199.000000000	0.000321302	0.000002015	
0.200000000	63.000000000	0.458133914	0.028672944	
0.000000000	199.000000000	0.000321302	0.000002015	
0.300000000	63.000000000	0.724664340	0.045354118	
0.000000000	199.000000000	0.000321302	0.000002015	
0.400000000	63.000000000	0.879233958	0.055028072	
0.000000000	199.000000000	0.000321302	0.000002015	
0.500000000	63.000000000	1.104803477	0.069145651	
0.000000000	199.000000000	0.000321302	0.000002015	
0.600000000	63.000000000	1.340940325	0.083924602	
0.000000000	199.000000000	0.000321302	0.000002015	
0.700000000	63.000000000	1.563846474	0.097875491	
0.000000000	199.000000000	0.000321302	0.000002015	
0.800000000	63.000000000	1.917793456	0.120027752	
0.000000000	199.000000000	0.000321302	0.000002015	
0.900000000	63.000000000	2.035103492	0.127369763	
0.000000000	199.000000000	0.000321302	0.000002015	
1.000000000	63.000000000	2.197573840	0.137538194	
0.000000000	199.000000000	0.000321302	0.000002015	
1.100000000	63.000000000	2.422119502	0.151591694	
0.000000000	199.000000000	0.000321302	0.000002015	
1.200000000	63.000000000	2.872143534	0.179757070	
0.000000000	199.000000000	0.000321302	0.000002015	
1.300000000	63.000000000	2.892866378	0.181054037	
0.000000000	199.000000000	0.000321302	0.000002015	
1.400000000	63.000000000	3.072380754	0.192289193	
0.000000000	199.000000000	0.000321302	0.000002015	
1.500000000	63.000000000	3.582543863	0.224218455	
0.000000000	199.000000000	0.000321302	0.000002015	
1.600000000	63.000000000	3.825853444	0.239446322	
0.000000000	199.000000000	0.000321302	0.000002015	
1.700000000	63.000000000	4.058171626	0.253986276	
0.000000000	199.000000000	0.000321302	0.000002015	
1.800000000	63.000000000	4.291943386	0.268617204	
0.000000000	199.000000000	0.000321302	0.000002015	
1.900000000	63.000000000	4.220688452	0.264157616	
0.000000000	199.000000000	0.000321302	0.000002015	
2.000000000	63.000000000	4.647656142	0.290879978	
0.000000000	199.000000000	0.000321302	0.000002015	
0.100000000	82.000000000	0.206466696	0.007627518	
0.000000000	199.000000000	0.000321302	0.000002015	
0.200000000	82.000000000	0.401959387	0.014849622	
0.000000000	199.000000000	0.000321302	0.000002015	
0.300000000	82.000000000	0.653059673	0.024126043	
0.000000000	199.000000000	0.000321302	0.000002015	
0.400000000	82.000000000	0.835170321	0.030853773	
0.000000000	199.000000000	0.000321302	0.000002015	
0.500000000	82.000000000	1.083173684	0.040015784	
0.000000000	199.000000000	0.000321302	0.000002015	
0.600000000	82.000000000	1.193901495	0.044106412	
0.000000000	199.000000000	0.000321302	0.000002015	
0.700000000	82.000000000	1.512063560	0.055860302	
0.000000000	199.000000000	0.000321302	0.000002015	
0.800000000	82.000000000	1.604072591	0.059259400	
0.000000000	199.000000000	0.000321302	0.000002015	
0.900000000	82.000000000	1.942643614	0.071767261	
0.000000000	199.000000000	0.000321302	0.000002015	
