Volts	Hz	G	mm
0.000000000	199.000000000	0.000619282	0.000003885	
0.100000000	20.000000000	0.224110920	0.139175877	
0.000000000	199.000000000	0.000619282	0.000003885	
0.200000000	20.000000000	0.479463433	0.297753200	
0.000000000	199.000000000	0.000619282	0.000003885	
0.300000000	20.000000000	0.718074468	0.445933842	
0.000000000	199.000000000	0.000619282	0.000003885	
0.400000000	20.000000000	0.984211421	0.611208448	
0.000000000	199.000000000	0.000619282	0.000003885	
0.500000000	20.000000000	1.245124501	0.773238958	
0.000000000	199.000000000	0.000619282	0.000003885	
0.600000000	20.000000000	1.500567486	0.931872465	
0.000000000	199.000000000	0.000619282	0.000003885	
0.700000000	20.000000000	1.755654575	1.090284957	
0.000000000	199.000000000	0.000619282	0.000003885	
0.800000000	20.000000000	2.015171331	1.251448331	
0.000000000	199.000000000	0.000619282	0.000003885	
0.900000000	20.000000000	2.273095583	1.411622739	
0.000000000	199.000000000	0.000619282	0.000003885	
1.000000000	20.000000000	2.504102576	1.555081169	
0.000000000	199.000000000	0.000619282	0.000003885	
1.100000000	20.000000000	2.787082682	1.730815598	
0.000000000	199.000000000	0.000619282	0.000003885	
1.200000000	20.000000000	3.034741360	1.884614947	
0.000000000	199.000000000	0.000619282	0.000003885	
1.300000000	20.000000000	3.324712125	2.064690668	
0.000000000	199.000000000	0.000619282	0.000003885	
1.400000000	20.000000000	3.556136581	2.208408348	
0.000000000	199.000000000	0.000619282	0.000003885	
1.500000000	20.000000000	3.926348656	2.438314995	
0.000000000	199.000000000	0.000619282	0.000003885	
1.600000000	20.000000000	4.070994485	2.528141988	
0.000000000	199.000000000	0.000619282	0.000003885	
1.700000000	20.000000000	4.422444420	2.746397095	
0.000000000	199.000000000	0.000619282	0.000003885	
1.800000000	20.000000000	4.728824802	2.936663407	
0.000000000	199.000000000	0.000619282	0.000003885	
1.900000000	20.000000000	4.786783124	2.972656300	
0.000000000	199.000000000	0.000619282	0.000003885	
2.000000000	20.000000000	5.104604306	3.170027502	
0.000000000	199.000000000	0.000619282	0.000003885	
0.100000000	33.000000000	0.238390487	0.054377843	
0.000000000	199.000000000	0.000619282	0.000003885	
0.200000000	33.000000000	0.508989569	0.116102599	
0.000000000	199.000000000	0.000619282	0.000003885	
0.300000000	33.000000000	0.725654685	0.165524796	
0.000000000	199.000000000	0.000619282	0.000003885	
0.400000000	33.000000000	0.974082347	0.222192161	
0.000000000	199.000000000	0.000619282	0.000003885	
0.500000000	33.000000000	1.228066691	0.280127026	
0.000000000	199.000000000	0.000619282	0.000003885	
0.600000000	33.000000000	1.487688258	0.339347766	
0.000000000	199.000000000	0.000619282	0.000003885	
0.700000000	33.000000000	1.740077554	0.396918795	
0.000000000	199.000000000	0.000619282	0.000003885	
0.800000000	33.000000000	1.984165665	0.452596290	
0.000000000	199.000000000	0.000619282	0.000003885	
0.900000000	33.000000000	2.266838668	0.517075156	
0.000000000	199.000000000	0.000619282	0.000003885	
1.000000000	33.000000000	2.513286358	0.573290880	
0.000000000	199.000000000	0.000619282	0.000003885	
1.100000000	33.000000000	2.790257553	0.636469140	
0.000000000	199.000000000	0.000619282	0.000003885	
1.200000000	33.000000000	3.025373355	0.690100015	
0.000000000	199.000000000	0.000619282	0.000003885	
1.300000000	33.000000000	3.303555542	0.753554508	
0.000000000	199.000000000	0.000619282	0.000003885	
1.400000000	33.000000000	3.667965937	0.836678007	
0.000000000	199.000000000	0.000619282	0.000003885	
1.500000000	33.000000000	3.829919804	0.873620345	
0.000000000	199.000000000	0.000619282	0.000003885	
1.600000000	33.000000000	4.274867770	0.975114793	
0.000000000	199.000000000	0.000619282	0.000003885	
1.700000000	33.000000000	4.387905560	1.000899174	
0.000000000	199.000000000	0.000619282	0.000003885	
1.800000000	33.000000000	4.671079449	1.065492294	
0.000000000	199.000000000	0.000619282	0.000003885	
1.900000000	33.000000000	4.878529778	1.112812561	
0.000000000	199.000000000	0.000619282	0.000003885	
2.000000000	33.000000000	5.146573925	1.173954526	
0.000000000	199.000000000	0.000619282	0.000003885	
0.100000000	47.000000000	0.264141016	0.029703051	
0.000000000	199.000000000	0.000619282	0.000003885	
0.200000000	47.000000000	0.519337406	0.058400266	
0.000000000	199.000000000	0.000619282	0.000003885	
0.300000000	47.000000000	0.768396641	0.086407349	
0.000000000	199.000000000	0.000619282	0.000003885	
0.400000000	47.000000000	1.027220377	0.115512464	
0.000000000	199.000000000	0.000619282	0.000003885	
0.500000000	47.000000000	1.283554050	0.144337568	
0.000000000	199.000000000	0.000619282	0.000003885	
0.600000000	47.000000000	1.553404089	0.174682608	
0.000000000	199.000000000	0.000619282	0.000003885	
0.700000000	47.000000000	1.796799101	0.202052740	
0.000000000	199.000000000	0.000619282	0.000003885	
0.800000000	47.000000000	2.084105568	0.234360781	
0.000000000	199.000000000	0.000619282	0.000003885	
0.900000000	47.000000000	2.327197124	0.261696789	
0.000000000	199.000000000	0.000619282	0.000003885	
1.000000000	47.000000000	2.564720587	0.288406657	
0.000000000	199.000000000	0.000619282	0.000003885	
