This is the data file used for calibration of the shaker
Frequency	Amplitude	UpdateRate	Duration
(Hz)	(Volts)	(Hz)	(Sec)
10.0000	0.10000	10000	1.0000
/ 177.0000	0.00000	10000	1.0000
177.0000	0.05000	10000	1.0000
177.0000	0.10000	10000	1.0000
177.0000	0.15000	10000	1.0000
177.0000	0.20000	10000	1.0000
177.0000	0.25000	10000	1.0000
177.0000	0.30000	10000	1.0000
177.0000	0.35000	10000	1.0000
177.0000	0.40000	10000	1.0000
177.0000	0.45000	10000	1.0000
177.0000	0.50000	10000	1.0000
177.0000	0.55000	10000	1.0000
177.0000	0.60000	10000	1.0000
177.0000	0.65000	10000	1.0000
177.0000	0.70000	10000	1.0000
177.0000	0.75000	10000	1.0000
177.0000	0.80000	10000	1.0000
177.0000	0.85000	10000	1.0000
177.0000	0.90000	10000	1.0000
177.0000	0.95000	10000	1.0000
177.0000	1.00000	10000	1.0000
177.0000	1.05000	10000	1.0000
177.0000	1.10000	10000	1.0000
177.0000	1.15000	10000	1.0000
177.0000	1.20000	10000	1.0000
177.0000	1.25000	10000	1.0000
177.0000	1.30000	10000	1.0000
177.0000	1.35000	10000	1.0000
177.0000	1.40000	10000	1.0000
177.0000	1.45000	10000	1.0000
177.0000	1.50000	10000	1.0000
177.0000	1.55000	10000	1.0000
177.0000	1.60000	10000	1.0000
177.0000	1.65000	10000	1.0000
177.0000	1.70000	10000	1.0000
177.0000	1.75000	10000	1.0000
177.0000	1.80000	10000	1.0000
177.0000	1.85000	10000	1.0000
177.0000	1.90000	10000	1.0000
177.0000	1.95000	10000	1.0000177.0000	2.00000	10000	1.0000
177.0000	2.05000	10000	1.0000
177.0000	2.10000	10000	1.0000
177.0000	2.15000	10000	1.0000
177.0000	2.20000	10000	1.0000
177.0000	2.25000	10000	1.0000
177.0000	2.30000	10000	1.0000
177.0000	2.35000	10000	1.0000
177.0000	2.40000	10000	1.0000
177.0000	2.45000	10000	1.0000
177.0000	2.50000	10000	1.0000
177.0000	2.55000	10000	1.0000
177.0000	2.60000	10000	1.0000
177.0000	2.65000	10000	1.0000
177.0000	2.70000	10000	1.0000
177.0000	2.75000	10000	1.0000
177.0000	2.80000	10000	1.0000
