Volts	Hz	G	mm
1.000000000	10.000000000	0.771499476	1.916445945	
1.000000000	20.000000000	2.391500394	1.485153709	
1.000000000	30.000000000	2.710669407	0.748160859	
1.000000000	40.000000000	2.778196501	0.431324290	
1.000000000	50.000000000	2.648573461	0.263167923	
1.000000000	60.000000000	2.514253691	0.173487239	
1.000000000	70.000000000	2.397549842	0.121543714	
1.000000000	80.000000000	2.333705797	0.090578906	
1.000000000	90.000000000	2.237288839	0.068611668	
1.000000000	100.000000000	2.122891449	0.052733759	
1.000000000	110.000000000	2.084228196	0.042787887	
1.000000000	120.000000000	2.007121407	0.034623589	
1.000000000	130.000000000	1.943526591	0.028567006	
1.000000000	140.000000000	1.880747182	0.023836105	
1.000000000	150.000000000	1.831472530	0.020219892	
1.000000000	160.000000000	1.779055792	0.017262772	
1.000000000	170.000000000	1.818067083	0.015626906	
1.000000000	180.000000000	1.695333127	0.012997834	
1.000000000	190.000000000	1.754712122	0.012074235	
1.000000000	200.000000000	1.684591530	0.010461539	
1.000000000	210.000000000	1.563865906	0.008808904	
1.000000000	220.000000000	1.768533911	0.009076721	
1.000000000	230.000000000	1.718179861	0.008068149	
1.000000000	240.000000000	1.524135616	0.006572976	
1.000000000	250.000000000	1.723706715	0.006850847	
1.000000000	260.000000000	1.742363115	0.006402549	
1.000000000	270.000000000	1.658279646	0.005650556	
1.000000000	280.000000000	1.416548343	0.004488242	
1.000000000	290.000000000	1.611788368	0.004760724	
1.000000000	300.000000000	1.357393504	0.003746487	
