Volts	Hz	G	mm
0.000000000	199.000000000	0.000310141	0.000001945	
0.100000000	20.000000000	0.250953676	0.155845587	
0.000000000	199.000000000	0.000310141	0.000001945	
0.200000000	20.000000000	0.491748998	0.305382701	
0.000000000	199.000000000	0.000310141	0.000001945	
0.300000000	20.000000000	0.763864678	0.474370175	
0.000000000	199.000000000	0.000310141	0.000001945	
0.400000000	20.000000000	0.971985370	0.603615906	
0.000000000	199.000000000	0.000310141	0.000001945	
0.500000000	20.000000000	1.233456233	0.765992807	
0.000000000	199.000000000	0.000310141	0.000001945	
0.600000000	20.000000000	1.457072719	0.904861633	
0.000000000	199.000000000	0.000310141	0.000001945	
0.700000000	20.000000000	1.698740055	1.054940280	
0.000000000	199.000000000	0.000310141	0.000001945	
0.800000000	20.000000000	1.944502979	1.207562340	
0.000000000	199.000000000	0.000310141	0.000001945	
0.900000000	20.000000000	2.194988658	1.363117295	
0.000000000	199.000000000	0.000310141	0.000001945	
1.000000000	20.000000000	2.452109976	1.522793070	
0.000000000	199.000000000	0.000310141	0.000001945	
1.100000000	20.000000000	2.743857857	1.703972404	
0.000000000	199.000000000	0.000310141	0.000001945	
1.200000000	20.000000000	2.914386353	1.809872879	
0.000000000	199.000000000	0.000310141	0.000001945	
1.300000000	20.000000000	3.190669026	1.981448111	
0.000000000	199.000000000	0.000310141	0.000001945	
1.400000000	20.000000000	3.443232971	2.138293697	
0.000000000	199.000000000	0.000310141	0.000001945	
1.500000000	20.000000000	3.628114697	2.253107720	
0.000000000	199.000000000	0.000310141	0.000001945	
1.600000000	20.000000000	3.958440851	2.458244677	
0.000000000	199.000000000	0.000310141	0.000001945	
1.700000000	20.000000000	4.116891506	2.556644651	
0.000000000	199.000000000	0.000310141	0.000001945	
1.800000000	20.000000000	4.456121789	2.767311191	
0.000000000	199.000000000	0.000310141	0.000001945	
1.900000000	20.000000000	4.837237397	3.003989078	
0.000000000	199.000000000	0.000310141	0.000001945	
2.000000000	20.000000000	5.090852503	3.161487449	
0.000000000	199.000000000	0.000310141	0.000001945	
