Volts	Hz	G	mm
1.000000000	10.000000000	0.776682043	1.929319719	
1.000000000	20.000000000	2.184675370	1.356712605	
1.000000000	30.000000000	2.825998791	0.779992454	
1.000000000	40.000000000	2.542756934	0.394771511	
1.000000000	50.000000000	2.529686584	0.251355069	
1.000000000	60.000000000	2.408928355	0.166219634	
1.000000000	70.000000000	2.320301321	0.117627603	
1.000000000	80.000000000	2.250076033	0.087332956	
1.000000000	90.000000000	2.191601858	0.067210570	
1.000000000	100.000000000	2.071249859	0.051450954	
1.000000000	110.000000000	1.986232419	0.040776095	
1.000000000	120.000000000	1.983139825	0.034209898	
1.000000000	130.000000000	1.930551099	0.028376285	
1.000000000	140.000000000	1.899266739	0.024070817	
1.000000000	150.000000000	1.881944034	0.020777109	
1.000000000	160.000000000	1.858739918	0.018035974	
1.000000000	170.000000000	1.798252678	0.015456594	
1.000000000	180.000000000	1.770524179	0.013574311	
1.000000000	190.000000000	1.783894294	0.012275038	
1.000000000	200.000000000	1.777447031	0.011038184	
1.000000000	210.000000000	1.731840010	0.009755064	
1.000000000	220.000000000	1.750296821	0.008983122	
1.000000000	230.000000000	1.685388152	0.007914167	
1.000000000	240.000000000	1.689399921	0.007285694	
1.000000000	250.000000000	1.703583588	0.006770868	
1.000000000	260.000000000	1.661859308	0.006106727	
1.000000000	270.000000000	1.657018663	0.005646259	
1.000000000	280.000000000	1.575683058	0.004992450	
1.000000000	290.000000000	1.665052992	0.004918051	
1.000000000	300.000000000	1.651633156	0.004558606	
