Volts	Hz	G	mm
0.000000000	199.000000000	0.000160123	0.000001004	
0.100000000	20.000000000	0.180135880	0.111866789	
0.000000000	199.000000000	0.000160123	0.000001004	
0.200000000	20.000000000	0.347410784	0.215746741	
0.000000000	199.000000000	0.000160123	0.000001004	
0.300000000	20.000000000	0.542508145	0.336904809	
0.000000000	199.000000000	0.000160123	0.000001004	
0.400000000	20.000000000	0.688980181	0.427865901	
0.000000000	199.000000000	0.000160123	0.000001004	
0.500000000	20.000000000	0.919022568	0.570725299	
0.000000000	199.000000000	0.000160123	0.000001004	
0.600000000	20.000000000	1.100450805	0.683394658	
0.000000000	199.000000000	0.000160123	0.000001004	
0.700000000	20.000000000	1.265545398	0.785920608	
0.000000000	199.000000000	0.000160123	0.000001004	
0.800000000	20.000000000	1.440503407	0.894571869	
0.000000000	199.000000000	0.000160123	0.000001004	
0.900000000	20.000000000	1.614865741	1.002853209	
0.000000000	199.000000000	0.000160123	0.000001004	
1.000000000	20.000000000	1.750538521	1.087107819	
0.000000000	199.000000000	0.000160123	0.000001004	
1.100000000	20.000000000	1.942943684	1.206593997	
0.000000000	199.000000000	0.000160123	0.000001004	
1.200000000	20.000000000	2.148924733	1.334510982	
0.000000000	199.000000000	0.000160123	0.000001004	
1.300000000	20.000000000	2.340119337	1.453245387	
0.000000000	199.000000000	0.000160123	0.000001004	
1.400000000	20.000000000	2.512255590	1.560144300	
0.000000000	199.000000000	0.000160123	0.000001004	
1.500000000	20.000000000	2.725599430	1.692633676	
0.000000000	199.000000000	0.000160123	0.000001004	
1.600000000	20.000000000	2.883847729	1.790907985	
0.000000000	199.000000000	0.000160123	0.000001004	
1.700000000	20.000000000	3.020257032	1.875619985	
0.000000000	199.000000000	0.000160123	0.000001004	
1.800000000	20.000000000	3.316664872	2.059693216	
0.000000000	199.000000000	0.000160123	0.000001004	
1.900000000	20.000000000	3.479004181	2.160508097	
0.000000000	199.000000000	0.000160123	0.000001004	
2.000000000	20.000000000	3.631299756	2.255085685	
0.000000000	199.000000000	0.000160123	0.000001004	
0.100000000	33.000000000	0.212140571	0.048390130	
0.000000000	199.000000000	0.000160123	0.000001004	
0.200000000	33.000000000	0.449341443	0.102496618	
0.000000000	199.000000000	0.000160123	0.000001004	
0.300000000	33.000000000	0.669114230	0.152627688	
0.000000000	199.000000000	0.000160123	0.000001004	
0.400000000	33.000000000	0.908437881	0.207218390	
0.000000000	199.000000000	0.000160123	0.000001004	
0.500000000	33.000000000	1.132884753	0.258415638	
0.000000000	199.000000000	0.000160123	0.000001004	
0.600000000	33.000000000	1.252781398	0.285764552	
0.000000000	199.000000000	0.000160123	0.000001004	
0.700000000	33.000000000	1.496673790	0.341397402	
0.000000000	199.000000000	0.000160123	0.000001004	
0.800000000	33.000000000	1.772498188	0.404314074	
0.000000000	199.000000000	0.000160123	0.000001004	
0.900000000	33.000000000	2.041000458	0.465560538	
0.000000000	199.000000000	0.000160123	0.000001004	
1.000000000	33.000000000	2.274528636	0.518829269	
0.000000000	199.000000000	0.000160123	0.000001004	
1.100000000	33.000000000	2.367129184	0.539951832	
0.000000000	199.000000000	0.000160123	0.000001004	
1.200000000	33.000000000	2.591639647	0.591163585	
0.000000000	199.000000000	0.000160123	0.000001004	
1.300000000	33.000000000	2.697636922	0.615341996	
0.000000000	199.000000000	0.000160123	0.000001004	
1.400000000	33.000000000	3.187226046	0.727019275	
0.000000000	199.000000000	0.000160123	0.000001004	
1.500000000	33.000000000	3.417291442	0.779498131	
0.000000000	199.000000000	0.000160123	0.000001004	
