Volts	Hz	G	mm
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	20.000000000	0.276611551	0.171779471	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	20.000000000	0.573639406	0.356237738	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	20.000000000	0.814946677	0.506092779	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	20.000000000	1.115216372	0.692564273	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	20.000000000	1.421856221	0.882991718	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	20.000000000	1.626850475	1.010295889	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	20.000000000	1.907745615	1.184735526	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	20.000000000	2.234007613	1.387348588	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	20.000000000	2.451716111	1.522548475	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	20.000000000	2.688538691	1.669618462	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	20.000000000	3.090414937	1.919188982	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	20.000000000	3.229139441	2.005338754	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	20.000000000	3.516910651	2.184048521	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	20.000000000	3.959195133	2.458713096	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	20.000000000	4.233332175	2.628955863	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	20.000000000	4.363020679	2.709494158	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	20.000000000	4.798781025	2.980107157	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	20.000000000	5.003713502	3.107372964	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	20.000000000	5.110258215	3.173538655	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	20.000000000	5.649102040	3.508167873	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	33.000000000	0.284952003	0.064998715	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	33.000000000	0.584961898	0.133432197	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	33.000000000	0.912359173	0.208112853	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	33.000000000	1.153459923	0.263108918	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	33.000000000	1.512862039	0.345090008	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	33.000000000	1.804314500	0.411571505	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	33.000000000	2.104287392	0.479996546	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	33.000000000	2.358789197	0.538049447	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	33.000000000	2.627266009	0.599290104	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	33.000000000	2.948090216	0.672471415	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	33.000000000	3.261218526	0.743897261	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	33.000000000	3.671706951	0.837531347	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	33.000000000	4.072767727	0.929014948	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	33.000000000	4.345192404	0.991156129	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	33.000000000	4.697468703	1.071511791	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	33.000000000	5.055959891	1.153285095	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	33.000000000	5.251594162	1.197910071	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	33.000000000	5.671804618	1.293761791	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	33.000000000	5.905098165	1.346977002	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	33.000000000	6.073189662	1.385319359	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	47.000000000	0.316342669	0.035573205	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	47.000000000	0.617493910	0.069438112	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	47.000000000	0.922902121	0.103781721	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	47.000000000	1.283694598	0.144353373	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	47.000000000	1.542897382	0.173501113	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	47.000000000	1.917981048	0.215679831	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	47.000000000	2.150579600	0.241835885	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	47.000000000	2.569669530	0.288963173	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	47.000000000	2.762832852	0.310684677	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	47.000000000	3.199802668	0.359822585	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	47.000000000	3.417094825	0.384257412	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	47.000000000	3.796304451	0.426900101	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	47.000000000	3.965680731	0.445946716	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	47.000000000	4.373979836	0.491860560	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	47.000000000	4.590715543	0.516232813	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	47.000000000	4.969674276	0.558847288	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	47.000000000	5.360134742	0.602755150	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	47.000000000	5.700583634	0.641039136	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	47.000000000	6.003436108	0.675095349	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	47.000000000	6.297069281	0.708114837	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	63.000000000	0.282359066	0.017671832	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	63.000000000	0.555543927	0.034769484	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	63.000000000	0.846166933	0.052958526	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	63.000000000	1.131338005	0.070806351	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	63.000000000	1.418443418	0.088775240	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	63.000000000	1.694800278	0.106071416	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	63.000000000	1.902741009	0.119085674	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	63.000000000	2.168272061	0.135704301	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	63.000000000	2.548775049	0.159518606	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	63.000000000	2.792652112	0.174781989	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	63.000000000	3.096978630	0.193828685	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	63.000000000	3.355886781	0.210032809	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	63.000000000	3.523603688	0.220529603	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	63.000000000	3.775105579	0.236270196	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	63.000000000	4.102775621	0.256777878	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	63.000000000	4.499666916	0.281617868	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	63.000000000	4.801890366	0.300532940	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	63.000000000	4.932465119	0.308705141	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	63.000000000	5.293972230	0.331330563	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	63.000000000	5.390487275	0.337371091	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	82.000000000	0.265309361	0.009801348	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	82.000000000	0.500909897	0.018505160	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	82.000000000	0.781261295	0.028862207	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	82.000000000	1.050304524	0.038801496	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	82.000000000	1.311695143	0.048458074	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	82.000000000	1.499795816	0.055407094	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	82.000000000	1.766288767	0.065252167	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	82.000000000	2.049661211	0.075720821	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	82.000000000	2.384403610	0.088087240	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	82.000000000	2.627426376	0.097065253	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	82.000000000	2.899712431	0.107124341	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	82.000000000	3.128366887	0.115571544	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	82.000000000	3.424752941	0.126520961	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	82.000000000	3.669118508	0.135548580	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	82.000000000	3.886267598	0.143570739	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	82.000000000	4.236144740	0.156496282	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	82.000000000	4.245663921	0.156847950	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	82.000000000	4.706459774	0.173871173	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	82.000000000	4.916626877	0.181635396	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	82.000000000	5.178239119	0.191300161	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	104.000000000	0.250340407	0.005749436	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	104.000000000	0.489881376	0.011250846	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	104.000000000	0.744527741	0.017099175	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	104.000000000	0.992740796	0.022799752	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	104.000000000	1.207544707	0.027733040	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	104.000000000	1.496369790	0.034366333	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	104.000000000	1.638994535	0.037641920	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	104.000000000	1.947849109	0.044735219	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	104.000000000	2.168305590	0.049798327	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	104.000000000	2.484035597	0.057049531	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	104.000000000	2.726107372	0.062609065	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	104.000000000	2.815482957	0.064661707	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	104.000000000	3.050313692	0.070054940	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	104.000000000	3.321390018	0.076280606	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	104.000000000	3.641346971	0.083628888	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	104.000000000	3.756420209	0.086271714	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	104.000000000	4.071583427	0.093509901	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	104.000000000	4.452432727	0.102256665	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	104.000000000	4.667910910	0.107205439	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	104.000000000	4.681923418	0.107527257	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	131.000000000	0.240268801	0.003477889	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	131.000000000	0.465439314	0.006737231	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	131.000000000	0.718949025	0.010406782	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	131.000000000	0.946102490	0.013694826	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	131.000000000	1.125951633	0.016298141	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	131.000000000	1.416242184	0.020500095	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	131.000000000	1.665906212	0.024113980	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	131.000000000	1.806614335	0.026150729	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	131.000000000	2.129143215	0.030819332	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	131.000000000	2.261385795	0.032733542	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	131.000000000	2.600130664	0.037636872	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	131.000000000	2.693188655	0.038983886	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	131.000000000	3.051087711	0.044164472	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	131.000000000	3.151924969	0.045624090	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	131.000000000	3.547217764	0.051345951	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	131.000000000	3.675992288	0.053209961	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	131.000000000	3.955194914	0.057251417	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	131.000000000	4.130057386	0.059782550	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	131.000000000	4.497642778	0.065103346	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	131.000000000	4.476211067	0.064793122	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	161.000000000	0.233197531	0.002234772	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	161.000000000	0.505463373	0.004843941	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	161.000000000	0.691866695	0.006630276	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	161.000000000	0.993240280	0.009518390	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	161.000000000	1.227754526	0.011765780	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	161.000000000	1.483971732	0.014221153	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	161.000000000	1.698886926	0.016280722	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	161.000000000	1.847109928	0.017701168	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	161.000000000	2.221047960	0.021284680	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	161.000000000	2.422257971	0.023212910	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	161.000000000	2.536005089	0.024302968	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	161.000000000	3.002750326	0.028775866	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	161.000000000	3.102813779	0.029734792	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	161.000000000	3.443951010	0.033003968	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	161.000000000	3.670566660	0.035175664	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	161.000000000	3.761787272	0.036049846	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	161.000000000	4.245770909	0.040687944	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	161.000000000	4.424279677	0.042398624	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	161.000000000	4.336523231	0.041557639	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	161.000000000	4.858549370	0.046560304	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	194.000000000	0.154435711	0.001019307	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	194.000000000	0.316444070	0.002088596	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	194.000000000	0.506234490	0.003341252	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	194.000000000	0.635435161	0.004194003	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	194.000000000	0.769443060	0.005078483	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	194.000000000	0.838823413	0.005536407	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	194.000000000	0.999034255	0.006593832	
0.000000000	199.000000000	0.000018767	0.000000118	
0.800000000	194.000000000	1.283736879	0.008472928	
0.000000000	199.000000000	0.000018767	0.000000118	
0.900000000	194.000000000	1.332200316	0.008792796	
0.000000000	199.000000000	0.000018767	0.000000118	
1.000000000	194.000000000	1.389879562	0.009173491	
0.000000000	199.000000000	0.000018767	0.000000118	
1.100000000	194.000000000	1.605987445	0.010599848	
0.000000000	199.000000000	0.000018767	0.000000118	
1.200000000	194.000000000	1.831042989	0.012085261	
0.000000000	199.000000000	0.000018767	0.000000118	
1.300000000	194.000000000	1.839784823	0.012142959	
0.000000000	199.000000000	0.000018767	0.000000118	
1.400000000	194.000000000	2.282078127	0.015062185	
0.000000000	199.000000000	0.000018767	0.000000118	
1.500000000	194.000000000	2.249118201	0.014844643	
0.000000000	199.000000000	0.000018767	0.000000118	
1.600000000	194.000000000	2.567517001	0.016946141	
0.000000000	199.000000000	0.000018767	0.000000118	
1.700000000	194.000000000	2.372318045	0.015657787	
0.000000000	199.000000000	0.000018767	0.000000118	
1.800000000	194.000000000	2.697938382	0.017806949	
0.000000000	199.000000000	0.000018767	0.000000118	
1.900000000	194.000000000	3.143954658	0.020750748	
0.000000000	199.000000000	0.000018767	0.000000118	
2.000000000	194.000000000	3.183442280	0.021011374	
0.000000000	199.000000000	0.000018767	0.000000118	
0.100000000	229.000000000	0.159348486	0.000754810	
0.000000000	199.000000000	0.000018767	0.000000118	
0.200000000	229.000000000	0.349585938	0.001655937	
0.000000000	199.000000000	0.000018767	0.000000118	
0.300000000	229.000000000	0.502869304	0.002382018	
0.000000000	199.000000000	0.000018767	0.000000118	
0.400000000	229.000000000	0.648549965	0.003072086	
0.000000000	199.000000000	0.000018767	0.000000118	
0.500000000	229.000000000	0.948318060	0.004492044	
0.000000000	199.000000000	0.000018767	0.000000118	
0.600000000	229.000000000	1.221601520	0.005786548	
0.000000000	199.000000000	0.000018767	0.000000118	
0.700000000	229.000000000	1.238180545	0.005865080	
