[Calibration Data File for Shaker Experiment]
Generated at Fri Jan 25 21:10:01 2013

[Number of Frequencies]
12

[Number of Amplitude Levels]
20

Volts	Hz	G	mm
0.000000000	199.000000000	0.000521882	0.000003274	
0.100000000	20.000000000	0.098082505	0.060910546	
0.000000000	199.000000000	0.000521882	0.000003274	
0.200000000	20.000000000	0.138137632	0.085785316	
0.000000000	199.000000000	0.000521882	0.000003274	
0.300000000	20.000000000	0.219561086	0.136350369	
0.000000000	199.000000000	0.000521882	0.000003274	
0.400000000	20.000000000	0.265618464	0.164952616	
0.000000000	199.000000000	0.000521882	0.000003274	
0.500000000	20.000000000	0.366919960	0.227862200	
0.000000000	199.000000000	0.000521882	0.000003274	
0.600000000	20.000000000	0.419936551	0.260786211	
0.000000000	199.000000000	0.000521882	0.000003274	
0.700000000	20.000000000	0.517347259	0.321279563	
0.000000000	199.000000000	0.000521882	0.000003274	
0.800000000	20.000000000	0.616054272	0.382577937	
0.000000000	199.000000000	0.000521882	0.000003274	
0.900000000	20.000000000	0.624613542	0.387893358	
0.000000000	199.000000000	0.000521882	0.000003274	
1.000000000	20.000000000	0.755480269	0.469163345	
0.000000000	199.000000000	0.000521882	0.000003274	
1.100000000	20.000000000	0.730752388	0.453807000	
0.000000000	199.000000000	0.000521882	0.000003274	
1.200000000	20.000000000	0.750888181	0.466311597	
0.000000000	199.000000000	0.000521882	0.000003274	
1.300000000	20.000000000	1.021275395	0.634225671	
0.000000000	199.000000000	0.000521882	0.000003274	
1.400000000	20.000000000	1.105147583	0.686311420	
0.000000000	199.000000000	0.000521882	0.000003274	
1.500000000	20.000000000	0.877094080	0.544687147	
0.000000000	199.000000000	0.000521882	0.000003274	
1.600000000	20.000000000	1.186631880	0.736914258	
0.000000000	199.000000000	0.000521882	0.000003274	
1.700000000	20.000000000	1.250484414	0.776567535	
0.000000000	199.000000000	0.000521882	0.000003274	
1.800000000	20.000000000	1.406428783	0.873411072	
0.000000000	199.000000000	0.000521882	0.000003274	
1.900000000	20.000000000	1.002124143	0.622332487	
0.000000000	199.000000000	0.000521882	0.000003274	
2.000000000	20.000000000	1.477326712	0.917439634	
0.000000000	199.000000000	0.000521882	0.000003274	
0.100000000	33.000000000	0.142253852	0.032448685	
0.000000000	199.000000000	0.000521882	0.000003274	
0.200000000	33.000000000	0.166139334	0.037897060	
0.000000000	199.000000000	0.000521882	0.000003274	
0.300000000	33.000000000	0.187913648	0.042863870	
0.000000000	199.000000000	0.000521882	0.000003274	
0.400000000	33.000000000	0.268155621	0.061167392	
0.000000000	199.000000000	0.000521882	0.000003274	
0.500000000	33.000000000	0.361909462	0.082553026	
0.000000000	199.000000000	0.000521882	0.000003274	
0.600000000	33.000000000	0.404175937	0.092194182	
0.000000000	199.000000000	0.000521882	0.000003274	
0.700000000	33.000000000	0.490992788	0.111997460	
0.000000000	199.000000000	0.000521882	0.000003274	
0.800000000	33.000000000	0.498355087	0.113676830	
0.000000000	199.000000000	0.000521882	0.000003274	
0.900000000	33.000000000	0.581583125	0.132661485	
0.000000000	199.000000000	0.000521882	0.000003274	
1.000000000	33.000000000	0.752504784	0.171649414	
0.000000000	199.000000000	0.000521882	0.000003274	
1.100000000	33.000000000	0.887875775	0.202528089	
0.000000000	199.000000000	0.000521882	0.000003274	
1.200000000	33.000000000	0.761373489	0.173672402	
0.000000000	199.000000000	0.000521882	0.000003274	
1.300000000	33.000000000	1.058847432	0.241527423	
0.000000000	199.000000000	0.000521882	0.000003274	
1.400000000	33.000000000	0.917034561	0.209179328	
0.000000000	199.000000000	0.000521882	0.000003274	
1.500000000	33.000000000	1.236343115	0.282014912	
0.000000000	199.000000000	0.000521882	0.000003274	
1.600000000	33.000000000	1.290270805	0.294316039	
0.000000000	199.000000000	0.000521882	0.000003274	
1.700000000	33.000000000	1.078838975	0.246087575	
0.000000000	199.000000000	0.000521882	0.000003274	
1.800000000	33.000000000	2.342135315	0.534250628	
0.000000000	199.000000000	0.000521882	0.000003274	
1.900000000	33.000000000	1.208387296	0.275638076	
0.000000000	199.000000000	0.000521882	0.000003274	
2.000000000	33.000000000	1.359727013	0.310159283	
0.000000000	199.000000000	0.000521882	0.000003274	
0.100000000	47.000000000	0.137486702	0.015460585	
0.000000000	199.000000000	0.000521882	0.000003274	
0.200000000	47.000000000	0.133439084	0.015005424	
0.000000000	199.000000000	0.000521882	0.000003274	
0.300000000	47.000000000	0.199759685	0.022463275	
0.000000000	199.000000000	0.000521882	0.000003274	
0.400000000	47.000000000	0.230647739	0.025936682	
0.000000000	199.000000000	0.000521882	0.000003274	
0.500000000	47.000000000	0.516257787	0.058053959	
0.000000000	199.000000000	0.000521882	0.000003274	
0.600000000	47.000000000	0.517600838	0.058204987	
0.000000000	199.000000000	0.000521882	0.000003274	
0.700000000	47.000000000	1.127385029	0.126776129	
0.000000000	199.000000000	0.000521882	0.000003274	
0.800000000	47.000000000	0.471575987	0.053029423	
0.000000000	199.000000000	0.000521882	0.000003274	
0.900000000	47.000000000	0.818506104	0.092042233	
0.000000000	199.000000000	0.000521882	0.000003274	
1.000000000	47.000000000	1.025680346	0.115339286	
0.000000000	199.000000000	0.000521882	0.000003274	
1.100000000	47.000000000	1.374708564	0.154588029	
0.000000000	199.000000000	0.000521882	0.000003274	
1.200000000	47.000000000	2.106627676	0.236893426	
0.000000000	199.000000000	0.000521882	0.000003274	
1.300000000	47.000000000	2.121668017	0.238584735	
0.000000000	199.000000000	0.000521882	0.000003274	
1.400000000	47.000000000	2.345192290	0.263720373	
0.000000000	199.000000000	0.000521882	0.000003274	
1.500000000	47.000000000	2.452488161	0.275785953	
0.000000000	199.000000000	0.000521882	0.000003274	
1.600000000	47.000000000	0.925813265	0.104109083	
0.000000000	199.000000000	0.000521882	0.000003274	
1.700000000	47.000000000	0.888732158	0.099939257	
0.000000000	199.000000000	0.000521882	0.000003274	
1.800000000	47.000000000	1.247960957	0.140335072	
0.000000000	199.000000000	0.000521882	0.000003274	
1.900000000	47.000000000	1.091867750	0.122782158	
0.000000000	199.000000000	0.000521882	0.000003274	
2.000000000	47.000000000	1.069292168	0.120243500	
0.000000000	199.000000000	0.000521882	0.000003274	
0.100000000	63.000000000	0.154126855	0.009646242	
0.000000000	199.000000000	0.000521882	0.000003274	
0.200000000	63.000000000	0.228403541	0.014294951	
0.000000000	199.000000000	0.000521882	0.000003274	
0.300000000	63.000000000	0.233799696	0.014632677	
0.000000000	199.000000000	0.000521882	0.000003274	
0.400000000	63.000000000	0.436418672	0.027313865	
0.000000000	199.000000000	0.000521882	0.000003274	
0.500000000	63.000000000	0.502039804	0.031420854	
0.000000000	199.000000000	0.000521882	0.000003274	
0.600000000	63.000000000	0.341258124	0.021358111	
0.000000000	199.000000000	0.000521882	0.000003274	
0.700000000	63.000000000	0.578394438	0.036199615	
0.000000000	199.000000000	0.000521882	0.000003274	
0.800000000	63.000000000	1.071750295	0.067076972	
0.000000000	199.000000000	0.000521882	0.000003274	
0.900000000	63.000000000	1.029315482	0.064421131	
0.000000000	199.000000000	0.000521882	0.000003274	
1.000000000	63.000000000	1.190171858	0.074488549	
0.000000000	199.000000000	0.000521882	0.000003274	
1.100000000	63.000000000	0.898902300	0.056259042	
0.000000000	199.000000000	0.000521882	0.000003274	
1.200000000	63.000000000	0.578606876	0.036212910	
0.000000000	199.000000000	0.000521882	0.000003274	
1.300000000	63.000000000	1.953427349	0.122257948	
0.000000000	199.000000000	0.000521882	0.000003274	
1.400000000	63.000000000	1.918035184	0.120042881	
0.000000000	199.000000000	0.000521882	0.000003274	
1.500000000	63.000000000	2.054770362	0.128600641	
0.000000000	199.000000000	0.000521882	0.000003274	
1.600000000	63.000000000	1.876763969	0.117459865	
0.000000000	199.000000000	0.000521882	0.000003274	
1.700000000	63.000000000	2.106258069	0.131823070	
0.000000000	199.000000000	0.000521882	0.000003274	
1.800000000	63.000000000	1.474723540	0.092297609	
0.000000000	199.000000000	0.000521882	0.000003274	
1.900000000	63.000000000	2.396055663	0.149960453	
0.000000000	199.000000000	0.000521882	0.000003274	
2.000000000	63.000000000	2.626513858	0.164383997	
0.000000000	199.000000000	0.000521882	0.000003274	
0.100000000	82.000000000	0.098005996	0.003620644	
0.000000000	199.000000000	0.000521882	0.000003274	
0.200000000	82.000000000	0.164827602	0.006089241	
0.000000000	199.000000000	0.000521882	0.000003274	
0.300000000	82.000000000	0.398433589	0.014719368	
0.000000000	199.000000000	0.000521882	0.000003274	
0.400000000	82.000000000	0.360551131	0.013319873	
0.000000000	199.000000000	0.000521882	0.000003274	
0.500000000	82.000000000	0.460179724	0.017000462	
0.000000000	199.000000000	0.000521882	0.000003274	
0.600000000	82.000000000	0.521596536	0.019269388	
0.000000000	199.000000000	0.000521882	0.000003274	
0.700000000	82.000000000	0.829817215	0.030656013	
0.000000000	199.000000000	0.000521882	0.000003274	
0.800000000	82.000000000	0.788797406	0.029140615	
0.000000000	199.000000000	0.000521882	0.000003274	
0.900000000	82.000000000	0.862012597	0.031845410	
0.000000000	199.000000000	0.000521882	0.000003274	
1.000000000	82.000000000	1.354780902	0.050049795	
0.000000000	199.000000000	0.000521882	0.000003274	
1.100000000	82.000000000	1.388880139	0.051309526	
0.000000000	199.000000000	0.000521882	0.000003274	
1.200000000	82.000000000	0.775191155	0.028637958	
0.000000000	199.000000000	0.000521882	0.000003274	
1.300000000	82.000000000	1.539880705	0.056887954	
0.000000000	199.000000000	0.000521882	0.000003274	
1.400000000	82.000000000	1.150279050	0.042494864	
0.000000000	199.000000000	0.000521882	0.000003274	
1.500000000	82.000000000	1.419577139	0.052443568	
0.000000000	199.000000000	0.000521882	0.000003274	
1.600000000	82.000000000	2.325988672	0.085929212	
0.000000000	199.000000000	0.000521882	0.000003274	
1.700000000	82.000000000	2.413128403	0.089148423	
0.000000000	199.000000000	0.000521882	0.000003274	
1.800000000	82.000000000	1.711503750	0.063228239	
0.000000000	199.000000000	0.000521882	0.000003274	
1.900000000	82.000000000	1.672190364	0.061775881	
0.000000000	199.000000000	0.000521882	0.000003274	
2.000000000	82.000000000	1.673983515	0.061842126	
0.000000000	199.000000000	0.000521882	0.000003274	
0.100000000	104.000000000	0.079674948	0.001829852	
0.000000000	199.000000000	0.000521882	0.000003274	
0.200000000	104.000000000	0.179029627	0.004111679	
0.000000000	199.000000000	0.000521882	0.000003274	
0.300000000	104.000000000	0.296206532	0.006802819	
0.000000000	199.000000000	0.000521882	0.000003274	
0.400000000	104.000000000	0.225497317	0.005178878	
0.000000000	199.000000000	0.000521882	0.000003274	
0.500000000	104.000000000	0.363215228	0.008341772	
0.000000000	199.000000000	0.000521882	0.000003274	
0.600000000	104.000000000	0.597603617	0.013724846	
0.000000000	199.000000000	0.000521882	0.000003274	
0.700000000	104.000000000	0.598024424	0.013734510	
0.000000000	199.000000000	0.000521882	0.000003274	
0.800000000	104.000000000	0.878519535	0.020176493	
