[Calibration Data File for Shaker Experiment]
Generated at Tue Jan 15 21:10:01 2013

[Number of Frequencies]
11

[Number of Amplitude Levels]
20

Volts	Hz	G	mm
0.000000000	199.000000000	0.000097910	0.000000614	
0.100000000	20.000000000	0.088945292	0.055236215	
0.000000000	199.000000000	0.000097910	0.000000614	
0.200000000	20.000000000	0.138462486	0.085987054	
0.000000000	199.000000000	0.000097910	0.000000614	
0.300000000	20.000000000	0.237498112	0.147489502	
0.000000000	199.000000000	0.000097910	0.000000614	
0.400000000	20.000000000	0.297533494	0.184772277	
0.000000000	199.000000000	0.000097910	0.000000614	
0.500000000	20.000000000	0.351766902	0.218451948	
0.000000000	199.000000000	0.000097910	0.000000614	
0.600000000	20.000000000	0.525487747	0.326334914	
0.000000000	199.000000000	0.000097910	0.000000614	
0.700000000	20.000000000	0.547209506	0.339824417	
0.000000000	199.000000000	0.000097910	0.000000614	
0.800000000	20.000000000	0.613932717	0.381260423	
0.000000000	199.000000000	0.000097910	0.000000614	
0.900000000	20.000000000	0.667052833	0.414248725	
0.000000000	199.000000000	0.000097910	0.000000614	
1.000000000	20.000000000	0.710857136	0.441451783	
0.000000000	199.000000000	0.000097910	0.000000614	
1.100000000	20.000000000	0.801349072	0.497648484	
0.000000000	199.000000000	0.000097910	0.000000614	
1.200000000	20.000000000	0.866585444	0.538161143	
0.000000000	199.000000000	0.000097910	0.000000614	
1.300000000	20.000000000	0.966668778	0.600314231	
0.000000000	199.000000000	0.000097910	0.000000614	
1.400000000	20.000000000	1.040203880	0.645980513	
0.000000000	199.000000000	0.000097910	0.000000614	
1.500000000	20.000000000	1.096483277	0.680930771	
0.000000000	199.000000000	0.000097910	0.000000614	
1.600000000	20.000000000	1.248206834	0.775153127	
0.000000000	199.000000000	0.000097910	0.000000614	
1.700000000	20.000000000	1.394929320	0.866269752	
0.000000000	199.000000000	0.000097910	0.000000614	
1.800000000	20.000000000	1.409182147	0.875120948	
0.000000000	199.000000000	0.000097910	0.000000614	
1.900000000	20.000000000	1.407637255	0.874161550	
0.000000000	199.000000000	0.000097910	0.000000614	
2.000000000	20.000000000	1.585657315	0.984714387	
0.000000000	199.000000000	0.000097910	0.000000614	
0.100000000	33.000000000	0.106314596	0.024250793	
0.000000000	199.000000000	0.000097910	0.000000614	
0.200000000	33.000000000	0.241247801	0.055029608	
0.000000000	199.000000000	0.000097910	0.000000614	
0.300000000	33.000000000	0.364631075	0.083173837	
0.000000000	199.000000000	0.000097910	0.000000614	
0.400000000	33.000000000	0.498577682	0.113727605	
0.000000000	199.000000000	0.000097910	0.000000614	
0.500000000	33.000000000	0.527730684	0.120377524	
0.000000000	199.000000000	0.000097910	0.000000614	
0.600000000	33.000000000	0.653856265	0.149147284	
0.000000000	199.000000000	0.000097910	0.000000614	
0.700000000	33.000000000	0.760886201	0.173561249	
0.000000000	199.000000000	0.000097910	0.000000614	
0.800000000	33.000000000	0.884410643	0.201737679	
0.000000000	199.000000000	0.000097910	0.000000614	
0.900000000	33.000000000	0.995474561	0.227071812	
0.000000000	199.000000000	0.000097910	0.000000614	
1.000000000	33.000000000	1.099682081	0.250841973	
0.000000000	199.000000000	0.000097910	0.000000614	
